Summary,Issue key,Status,Project type,Project lead,Priority,Resolution,Creator,Labels,Labels,Labels,Labels,Labels,Labels,Description
Use Case 32: Transfer Display Menu Incorrect,A1-30,In Progress,software,Noureldin Amer,Low,,Bryant Stevens,lowseverity,phase3,v1.1,,,,"Function: Transferring and cancelling

State: System is on and logged in

Steps: Try to cancel the transaction when in transferring

Expected: Cancel the transaction and display the cancelling message

Actual: The menu does not display the full message and is partially cut off. "
Test Case 37: Correct re-entry of PIN does not grant access to account,A1-27,Done,software,Noureldin Amer,Medium,Done,Bryant Stevens,critical,fixed,phase3,v1.1,,,"Function: Login

State: System is on

Steps: Attempt first try with incorrect PIN and attempt again  with correct PIN

Expected: Accepts the second attempt

Actual: Rejest all two attempts and prompts for the third attempt"
Test Case 39: Unable to login after first failed PIN attempt,A1-26,In Progress,software,Noureldin Amer,Medium,,Bryant Stevens,pending,phase2,v1.0,,,,"Function: Login

State: System is on

Steps: Attempt first try with incorrect PIN and attempt again  with correct PIN

Expected: Accepts the second attempt

Actual: Rejest all two attempts and prompts for the third attempt"
Test Case 40: Invalid PIN on third attempt to login,A1-25,In Progress,software,Noureldin Amer,Medium,,Bryant Stevens,pending,phase2,v1.0,,,,"Function: Login

State: System is on

Steps: Inputting two incorrect PINs and input the correct as the third PIN

Expected: First two attempts should give error messages and the third attempt is accepted

Actual: All three attempts are rejected even with the attempt with the correct PIN"
Use Case 36: Invalid PIN allows login ,A1-24,In Progress,software,Noureldin Amer,Highest,,Bryant Stevens,critical,pending,phase2,v1.0,,,"Function: Login

State: System is on

Steps: Login to card 1 with incorrect password 042

Expected: Error message is displayed

Actual: PIN is accepted and have access to the account"
Test Case 33: Improper Menu Display For Account Inquiry ,A1-23,Done,software,Noureldin Amer,High,Done,Bryant Stevens,critical,fixed,phase3,v1.1,,,"Function: Balance inquiry

State: System is on and logged in

Steps: Balance inquiry of the accounts

Expected: See all three options available to check the balance

Actual: No option to inquire about “savings” account"
Typo in menu of possible withdrawal amounts,A1-21,In Progress,software,Noureldin Amer,High,,Noureldin Amer,lowseverity,pending,phase3,v1.1,,,"Function: Amount of money to withdraw

State: System on and logged in

Steps: Withdraw money

Expected: 60 is represented with a $

Actual: Missing $ sign"
Test case 29 - Transfer - MFT (already tested on expleratory),A1-20,Done,software,Noureldin Amer,High,Done,sina pordanesh,critical,fixed,phase3,v1.1,,,"Function: Transfer money between accounts

State: System is on and logged in

Steps: Transfer money from chequing to savings account

Expected: Money is transferred and the balance is updated accordingly

Actual: Always 50 cents less of the actual amount entered have been transferred"
Test case 14  - Withdrawal - MFT,A1-19,Done,software,Noureldin Amer,Highest,Done,Noureldin Amer,critical,fixed,phase3,v1.1,,,"Function: Withdraw money from the account

State: System is on and logged in 2

Steps: Deposit 20$ from the chequing account

Expected: 20$ withdrawn and the balance is updated accordingly

Actual: The system dispenses 40$, and the updated balance shows that 40$ has been withdrawn"
Test case 22 - Deposit - MFT,A1-18,In Progress,software,Noureldin Amer,High,,sina pordanesh,critical,pending,phase3,v1.1,,,"Function: Depositing money

State: System on and logged in

Steps: Deposit money to the chequing account

Expected: Full amount to be depositted

Actual: 10$ is missing in the depositing process"
